"","AF293.Hypoxia.r1","AF293.Hypoxia.r2","AF293.Hypoxia.r3","Delta_eefA_AF293.Hypoxia.r1","Delta_eefA_AF293.Hypoxia.r2","Delta_eefA_AF293.Hypoxia.r3","eefA_OE.Hypoxia.r1","eefA_OE.Hypoxia.r2","eefA_OE.Hypoxia.r3","eefA_REV.Hypoxia.r1","eefA_REV.Hypoxia.r3","EVOL.Hypoxia.r1","EVOL.Hypoxia.r2","EVOL.Hypoxia.r3"
"Afu4g00290-T",43,18,23,24,20,61,11,12,10,30,51,9,6,7
"Afu4g00320-T",259,145,201,252,107,341,80,137,129,171,191,60,35,46
"Afu4g00330-T",52,28,30,32,24,54,23,22,38,24,54,18,13,23
"Afu4g00340-T",270,153,185,191,173,320,171,223,216,46,147,66,51,63
"Afu4g00350-T",313,132,177,216,144,323,240,354,356,146,263,124,96,120
"Afu4g00360-T",328,148,188,294,288,387,117,149,162,123,248,138,97,130
"Afu4g00370-T",31,12,19,15,19,46,7,9,9,6,19,4,8,10
"Afu4g00380-T",3,0,1,0,2,2,0,0,0,0,3,0,1,1
"Afu4g00390-T",184,41,103,53,40,122,15,30,27,23,84,117,66,83
"Afu4g00400-T",14,3,3,8,8,11,7,16,24,15,14,79,68,57
"Afu4g00410-T",4,4,4,6,3,18,0,0,0,1,5,6,1,4
"Afu4g00420-T",76,31,52,56,31,122,25,41,37,17,32,24,21,25
"Afu4g00430-T",1,0,3,1,1,2,1,1,2,0,3,1,0,0
"Afu4g00440-T",433,207,408,291,207,718,125,132,173,359,489,79,103,100
"Afu4g00450-T",8,1,2,3,2,9,0,0,1,0,0,0,0,0
"Afu4g00460-T",1,0,0,0,1,1,0,0,0,0,0,3,0,0
"Afu4g00470-T",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Afu4g00480-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g00485-T",5535,3468,4557,5068,5421,8986,3031,4141,5787,4085,5984,3350,3280,2191
"Afu4g00490-T",566,228,362,340,329,686,122,164,219,210,437,362,375,273
"Afu4g00500-T",2,2,1,1,1,4,0,0,0,0,1,2,2,2
"Afu4g00510-T",0,0,1,0,0,3,0,0,0,0,0,0,0,0
"Afu4g00520-T",4,1,1,0,0,8,0,0,1,0,0,0,0,0
"Afu4g00530-T",246,115,164,174,124,350,93,149,144,169,329,83,86,61
"Afu4g00540-T",67,32,49,41,47,144,5,3,11,12,24,61,44,23
"Afu4g00550-T",112,113,108,119,171,190,3,5,13,20,25,32,38,21
"Afu4g00560-T",79,87,71,88,117,141,7,8,9,15,34,16,18,21
"Afu4g00570-T",638,571,480,639,643,919,50,62,87,140,367,153,110,116
"Afu4g00580-T",576,510,462,700,634,882,63,111,130,166,405,192,197,176
"Afu4g00590-T",1306,864,855,1192,1083,1587,195,335,385,552,1195,1082,931,822
"Afu4g00600-T",2630,1625,1884,2408,1724,3065,116,191,169,738,1569,1921,1633,1322
"Afu4g00610-T",5246,3161,3774,4736,3526,6405,360,463,575,1499,3482,3852,3267,2446
"Afu4g00620-T",308,265,214,319,337,437,20,44,33,68,243,116,97,89
"Afu4g00630-T",136,103,76,134,128,149,42,40,63,51,142,90,82,84
"Afu4g00640-T",5,4,4,2,1,5,1,0,0,3,2,2,3,4
"Afu4g00650-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g00660-T",9158,4196,5790,7196,3849,12849,2962,4335,4768,3281,3220,122,47,36
"Afu4g00670-T",181,69,92,101,81,215,53,74,106,44,66,1,0,3
"Afu4g00680-T",36,9,22,28,17,41,5,9,5,7,12,0,1,0
"Afu4g00690-T",0,623,0,1006,909,6,1018,1267,1267,979,1238,5,0,0
"Afu4g00700-T",2,19,6,18,12,1,15,14,25,19,38,4,5,4
"Afu4g00710-T",1,6,0,3,7,2,1,1,2,7,12,6,3,7
"Afu4g00720-T",3,2,1,0,1,4,0,1,2,1,4,0,0,0
"Afu4g00730-T",0,3,1,0,1,3,0,0,0,0,0,0,0,0
"Afu4g00740-T",0,0,2,0,3,1,0,0,0,0,1,0,0,0
"Afu4g00750-T",44,23,40,31,22,59,3,5,5,6,17,27,12,24
"Afu4g00760-T",64,24,46,31,17,77,16,35,52,30,41,93,65,48
"Afu4g00770-T",192,104,130,108,63,249,109,188,126,100,136,238,227,174
"Afu4g00780-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g00790-T",2,3,1,2,0,6,3,2,1,0,2,2,5,1
"Afu4g00800-T",29,10,31,15,12,30,17,44,28,18,33,23,17,13
"Afu4g00810-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g00820-T",125.712237137655,56.5028940978815,230.446043043732,154.68408342742,67.5901145427557,415.647025330899,149.312374719787,115.838657369217,111.354241654704,82.3502262966122,36.758268487174,22.2967855891269,0,0
"Afu4g00830-T",39,19,29,23,19,55,2,2,5,24,13,50,51,34
"Afu4g00840-T",184,31,94,71,101,159,42,32,66,192,89,172,149,187
"Afu4g00850-T",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Afu4g00860-T",46,20,54,26,21,93,7,13,5,1,0,0,0,0
"Afu4g00870-T",2,0,0,3,0,4,0,1,1,1,1,1,0,2
"Afu4g00880-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g00890-T",60,11,37,22,8,49,5,7,8,11,20,18,15,12
"Afu4g00900-T",4,0,1,3,4,5,0,0,2,3,2,0,0,1
"Afu4g00910-T",2,0,3,0,1,0,0,1,2,2,2,1,0,2
"Afu4g00920-T",140,49,100,56,53,133,16,24,39,33,60,34,29,18
"Afu4g00930-T",223,94,142,132,133,225,57,131,114,160,255,135,114,129
"Afu4g00940-T",128,62,96,97,86,150,102,100,101,108,135,43,21,29
"Afu4g00950-T",275,146,204,203,137,363,78,124,107,104,155,109,89,86
"Afu4g00960-T",6667,3283,4359,4959,3316,8691,3726,4886,4524,3876,5114,2342,1655,1555
"Afu4g00970-T",99,52,80,75,38,84,21,32,33,27,44,48,20,37
"Afu4g00980-T",8,2,5,5,4,12,2,4,4,5,6,9,5,9
"Afu4g00990-T",15,3,6,9,3,9,5,5,9,2,7,2,5,6
"Afu4g01000-T",21,7,7,6,4,17,5,7,11,1,6,4,2,3
"Afu4g01010-T",14,7,4,6,3,15,5,10,12,16,8,10,10,13
"Afu4g01020-T",33,19,22,31,14,43,6,12,13,19,15,7,14,17
"Afu4g01030-T",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Afu4g01040-T",0,0,2,0,0,0,1,0,0,0,0,5,5,2
"Afu4g01050-T",3,0,7,4,5,10,3,1,3,2,8,2,0,0
"Afu4g01060-T",41,18,28,33,21,46,14,24,22,27,30,11,8,6
"Afu4g01070-T",42,19,22,17,21,58,18,19,31,54,54,170,120,138
"Afu4g01080-T",0,0,0,1,0,3,0,0,0,0,0,0,0,0
"Afu4g01090-T",1,0,2,0,0,1,1,0,0,0,0,0,1,0
"Afu4g01105-T",6,0,3,1,1,2,0,1,0,0,0,7,1,1
"Afu4g01110-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g01115-T",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Afu4g01120-T",11,0,3,6,7,19,0,1,1,2,3,12,2,11
"Afu4g01130-T",1,0,3,2,0,4,0,1,0,0,2,2,1,1
"Afu4g01140-T",14,6,15,14,5,19,8,9,9,5,4,2,0,1
"Afu4g01150-T",8,3,7,4,3,13,2,8,2,0,5,3,1,4
"Afu4g01160-T",24,4,19,11,1,24,7,27,14,3,4,17,10,7
"Afu4g01170-T",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Afu4g01180-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g01200-T",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g01210-T",5,4,5,3,1,5,2,2,4,5,3,8,4,2
"Afu4g01220-T",47,8,23,17,9,53,13,47,40,16,28,19,13,10
"Afu4g01230-T",74,24,48,32,28,99,0,5,9,7,6,5,9,10
"Afu4g01242-T",90,14,46,24,18,130,0,4,8,5,8,0,4,0
"Afu4g01260-T",9,1,0,3,3,7,1,2,3,2,4,4,5,3
"Afu4g01270-T",5,1,2,1,3,4,0,0,2,0,3,1,2,3
"Afu4g01280-T",4,0,3,3,3,3,3,9,7,4,11,10,13,9
"Afu4g01285-T",170,22,96,51,41,130,3,4,4,6,4,35,37,34
"Afu4g01290-T",13604,2850,9064,5367,4173,11891,1747,2886,3709,2676,4652,10055,8054,6976
"Afu4g01300-T",6,3,4,1,0,10,1,2,5,1,4,9,5,3
"Afu4g01310-T",8,8,5,5,3,8,2,2,4,1,2,1,1,4
"Afu4g01322-T",1,1,1,2,1,2,1,3,5,0,2,2,2,1
"Afu4g01340-T",0,1,0,0,0,2,1,2,4,0,2,1,1,0
"Afu4g01350-T",1028,535,395,1026,676,1578,471,627,819,350,540,252,189,192
"Afu4g01360-T",10,8,11,10,2,21,6,8,5,6,4,4,2,8
"Afu4g01370-T",16,4,5,9,3,13,6,5,5,4,9,7,9,9
"Afu4g01380-T",8,4,8,8,4,10,4,5,1,3,6,6,6,11
"Afu4g01392-T",164,80,125,139,118,230,63,57,85,68,115,151,101,139
"Afu4g01400-T",22,19,23,24,21,36,8,8,13,10,23,18,8,21
"Afu4g01410-T",5,0,4,2,0,2,0,0,0,1,1,1,1,0
"Afu4g01420-T",2,0,1,2,0,5,0,0,1,1,1,0,1,1
"Afu4g01430-T",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Afu4g01440-T",0,2,1,1,1,1,1,1,0,1,2,0,1,0
"Afu4g01450-T",1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Afu4g01460-T",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Afu4g01470-T",9,2,4,4,3,4,1,2,4,1,8,1,0,1
"Afu4g01480-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g01490-T",0,0,0,0,0,1,0,0,1,0,0,1,0,0
"Afu4g01500-T",0,0,0,1,0,2,0,0,0,0,0,4,0,2
"Afu4g01510-T",6,4,2,0,2,3,2,1,1,5,7,14,11,4
"Afu4g01520-T",4,1,0,0,0,4,0,2,1,1,0,5,2,2
"Afu4g01530-T",0,2,0,2,0,3,0,0,1,1,1,2,4,0
"Afu4g01550-T",0,0,0,0,0,2,0,0,0,0,0,1,0,0
"Afu4g01555-T",7,1,6,2,8,2,2,1,3,2,5,1,5,0
"Afu4g01560-T",76,28,57,53,25,131,56,135,105,126,156,264,188,158
"Afu4g01570-T",13,5,4,4,11,11,2,0,1,3,4,6,1,6
"Afu4g01580-T",88,35,6,40,34,55,10,52,43,15,21,17,7,14
"Afu4g01590-T",1,0,0,2,0,1,0,0,0,0,4,0,0,2
"Afu4g01600-T",0,1,1,1,0,5,0,0,3,2,3,0,3,1
"Afu4g02610-T",0,0,0,0,0,0,0,0,0,1,0,1,1,0
"Afu4g02620-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g02630-T",0,0,1,2,0,0,0,0,0,0,1,0,0,0
"Afu4g02640-T",165.811949212882,94.1170123872941,123.507221525953,127.334813230432,82.6142282728031,158.906011141844,79.8274791493013,125.39931431262,105.843837795593,56.9119810566703,77.6556799068997,28.9427843271343,39.8283184273925,24.9921755448259
"Afu4g02650-T",40,32,30,42,40,57,11,25,21,34,51,133,101,66
"Afu4g02660-T",70,24,38,36,40,62,20,21,26,27,45,88,64,67
"Afu4g02680-T",14,1,2,1,3,6,1,3,2,4,4,4,3,2
"Afu4g02690-T",0,1,0,0,0,0,0,0,1,0,0,0,0,1
"Afu4g02700-T",0,0,0,1,0,2,0,0,0,0,0,5,2,1
"Afu4g02710-T",166,121,117,181,191,286,223,396,344,585,774,817,777,541
"Afu4g02720-T",21,20,8,22,10,22,42,75,43,53,111,149,103,84
"Afu4g02730-T",5,0,2,4,3,6,0,0,1,3,3,3,1,1
"Afu4g02740-T",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Afu4g02750-T",24,7,15,19,7,22,0,2,2,5,10,10,4,6
"Afu4g02760-T",2,0,0,0,0,1,0,0,0,0,1,0,0,2
"Afu4g02770-T",4,0,4,4,1,5,0,1,2,0,0,0,0,0
"Afu4g02780-T",2,1,2,0,2,4,0,1,1,1,1,5,2,2
"Afu4g02790-T",172,96,149,120,105,234,91,88,107,59,133,162,115,95
"Afu4g02800-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g02802-T",101,56,68,77,88,140,44,51,87,66,122,76,82,65
"Afu4g02805-T",80,14,45,35,26,85,18,9,10,9,26,13,8,7
"Afu4g02810-T",377,220,208,418,346,357,236,237,392,501,907,3250,2826,1983
"Afu4g02820-T",6,8,2,6,14,12,7,8,10,15,57,36,27,22
"Afu4g02830-T",250,264,190,291,602,439,79,62,153,240,721,112,100,120
"Afu4g02840-T",3982,3824,3796,5240,7005,6683,2472,3330,3883,4063,8502,2296,1804,2229
"Afu4g02850-T",9,3,9,8,8,8,0,3,7,11,18,7,2,4
"Afu4g02860-T",11,3,7,4,4,5,0,2,7,4,8,3,4,7
"Afu4g02870-T",19,10,17,18,9,21,7,18,14,13,33,13,13,4
"Afu4g02880-T",174,108,140,128,125,224,172,266,208,236,357,378,326,293
"Afu4g02890-T",167,61,114,119,90,196,57,68,124,61,132,117,79,68
"Afu4g02900-T",487,235,327,388,232,574,192,245,264,254,332,189,156,147
"Afu4g02920-T",1596,772,937,1269,850,1932,744,1138,1479,958,1719,745,515,474
"Afu4g02930-T",116,84,59,85,76,115,46,52,54,61,119,35,16,31
"Afu4g02940-T",740,504,686,650,634,986,319,451,522,685,1305,759,681,601
"Afu4g02950-T",3,0,0,3,0,2,2,1,3,0,1,16,19,13
"Afu4g02960-T",4,3,3,6,3,6,5,8,8,3,4,78,57,44
"Afu4g02970-T",635,309,412,570,354,956,327,491,482,329,406,45,18,31
"Afu4g02980-T",92,21,50,49,23,71,11,26,24,29,73,140,75,77
"Afu4g02990-T",206,81,156,132,42,208,36,74,69,48,108,76,73,61
"Afu4g03000-T",752,663,579,865,1101,1222,400,780,753,694,1468,594,435,572
"Afu4g03010-T",3459,2040,1904,3119,2314,5888,807,705,892,1133,1087,592,556,522
"Afu4g03020-T",2234,1050,1417,1678,1367,3123,540,687,790,776,1059,585,496,361
"Afu4g03030-T",88,31,44,51,41,90,20,26,43,23,48,25,18,15
"Afu4g03040-T",10,8,4,6,6,4,0,2,3,6,3,5,2,8
"Afu4g03050-T",1469,683,986,959,730,1583,660,875,883,753,1194,1243,1110,1015
"Afu4g03060-T",58,29,23,41,25,60,13,22,26,18,35,30,26,50
"Afu4g03070-T",548,246,375,355,158,529,119,225,207,197,298,195,225,142
"Afu4g03080-T",1,0,1,1,1,4,0,0,0,0,0,0,0,0
"Afu4g03090-T",191,98,144,155,146,228,163,224,222,230,303,389,284,251
"Afu4g03100-T",299,114,144,271,181,323,489,656,824,597,878,753,648,468
"Afu4g03110-T",184,104,135,157,145,246,84,116,121,125,208,208,155,103
"Afu4g03120-T",314,176,153,147,181,314,1040,1577,1823,1013,1924,720,437,757
"Afu4g03130-T",515,195,347,321,158,612,166,211,320,130,217,121,73,75
"Afu4g03140-T",727,295,492,448,257,738,236,326,310,246,347,272,214,200
"Afu4g03150-T",19,5,17,6,8,27,7,3,11,3,3,5,2,2
"Afu4g03160-T",114,41,58,60,36,126,22,48,50,23,66,27,21,18
"Afu4g03170-T",25,8,4,18,16,19,8,20,12,16,22,73,45,59
"Afu4g03180-T",175,71,124,123,80,202,68,106,133,125,172,96,80,72
"Afu4g03190-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g03200-T",4,0,3,0,0,0,0,4,3,1,4,20,19,23
"Afu4g03210-T",4,1,0,3,0,5,0,1,0,3,0,0,0,1
"Afu4g03220-T",6,1,2,2,3,7,0,1,2,1,1,3,2,2
"Afu4g03230-T",0,1,0,0,0,2,0,0,0,0,0,1,0,0
"Afu4g03240-T",23,15,8,19,11,37,4,26,18,22,27,39,15,38
"Afu4g03250-T",2,1,1,0,0,1,2,1,0,2,1,5,2,2
"Afu4g03260-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g03270-T",3,0,0,0,0,0,0,0,1,0,0,0,0,0
"Afu4g03280-T",0,0,0,0,1,1,0,0,0,0,0,1,0,0
"Afu4g03290-T",44,11,31,24,20,36,18,30,20,49,55,128,82,78
"Afu4g03300-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g03305-T",4,2,5,3,2,8,0,0,0,1,1,0,0,0
"Afu4g03310-T",12,3,8,7,6,17,3,6,9,2,11,21,14,13
"Afu4g03320-T",1773,567,919,996,549,1598,349,571,454,657,857,465,383,409
"Afu4g03321-T",187,85,77,129,88,161,53,89,92,49,88,46,26,33
"Afu4g03322-T",8560,2121,3299,3692,2392,5343,1702,2866,4150,2008,4676,5814,3877,2851
"Afu4g03325-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g03330-T",2009,768,1095,1287,781,1812,459,744,801,735,1366,825,643,485
"Afu4g03340-T",467,232,329,336,224,571,208,279,321,186,271,124,112,79
"Afu4g03350-T",365,206,212,313,233,450,250,285,350,189,304,305,243,181
"Afu4g03360-T",25514,12879,13817,20627,15011,32511,30164,42144,47303,33139,34428,5480,4875,3570
"Afu4g03370-T",3690,2013,2357,2975,2205,5027,1303,1424,2067,1845,2636,1914,1479,1196
"Afu4g03390-T",2623,1335,1717,1844,1340,3287,1293,1630,1779,1156,1601,745,589,586
"Afu4g03400-T",8175,4616,4658,6985,7159,10765,2465,3287,4509,2546,4886,2480,2295,1557
"Afu4g03410-T",127221,63748,89593,99023,74393,149813,98747,126136,125531,68915,86848,60494,52804,43659
"Afu4g03420-T",491,206,327,360,345,524,385,679,734,211,390,98,101,84
"Afu4g03430-T",82,46,55,62,45,98,36,35,44,38,45,34,32,48
"Afu4g03435-T",124,33,74,53,74,176,6,13,18,22,40,16,13,14
"Afu4g03440-T",365,198,257,286,256,525,44,68,111,90,202,252,179,207
"Afu4g03450-T",3435,1478,2102,2350,1817,4238,627,764,993,721,1591,753,634,522
"Afu4g03460-T",37363,20711,24613,30810,21251,49391,23823,31388,32460,24122,32741,16830,13362,11477
"Afu4g03470-T",178,110,145,155,124,233,78,97,108,64,113,60,47,47
"Afu4g03480-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g03490-T",2223,1456,1967,2447,1905,2992,448,423,555,673,944,1220,862,820
"Afu4g03500-T",97,53,89,77,92,143,13,15,34,9,21,20,29,16
"Afu4g03510-T",100,46,68,81,67,116,9,21,24,26,43,15,13,21
"Afu4g03520-T",40,14,31,22,18,42,5,3,8,5,11,10,7,6
"Afu4g03530-T",21,9,14,11,12,27,3,3,6,2,8,7,12,10
"Afu4g03540-T",4,1,8,3,1,2,0,0,0,1,2,3,0,1
"Afu4g03550-T",3,0,0,1,2,2,0,0,0,0,2,0,0,0
"Afu4g03560-T",13,7,8,11,6,9,1,1,3,1,1,0,1,0
"Afu4g03580-T",15,11,12,7,7,11,20,32,28,27,54,13,22,20
"Afu4g03585-T",126,76,74,108,75,113,173,250,198,239,382,154,117,118
"Afu4g03590-T",32,18,15,29,24,33,8,12,23,6,22,26,10,17
"Afu4g03595-T",18174,7052,10726,11172,9666,22951,10442,16041,19351,8590,15707,3594,3407,2385
"Afu4g03600-T",101,15,33,33,34,88,16,20,56,13,42,9,16,18
"Afu4g03610-T",6,2,4,3,2,6,0,5,1,2,2,19,12,28
"Afu4g03615-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g03620-T",177,164,151,200,289,223,86,117,176,141,257,55,29,35
"Afu4g03630-T",103,50,89,38,22,96,12,47,23,59,84,42,32,46
"Afu4g03640-T",109,36,85,80,43,119,28,58,53,44,92,66,41,43
"Afu4g03645-T",16,4,8,15,2,21,11,9,11,20,31,16,18,15
"Afu4g03650-T",232,66,71,107,44,118,31,123,108,210,227,243,167,185
"Afu4g03660-T",57,41,30,45,36,72,42,41,45,36,44,30,22,31
"Afu4g03670-T",9,4,7,6,4,8,2,8,3,5,7,6,2,4
"Afu4g03680-T",6,4,5,9,3,6,3,0,5,4,1,3,4,3
"Afu4g03690-T",1,0,0,0,0,0,0,0,0,0,2,0,0,3
"Afu4g03700-T",0,0,0,1,0,1,0,0,0,0,2,1,0,2
"Afu4g03710-T",3,0,3,2,0,2,0,0,0,0,1,0,1,1
"Afu4g03722-T",46,17,38,18,16,67,9,7,13,11,10,2,2,2
"Afu4g03730-T",9029,2592,5014,4523,2507,12576,3443,4998,5162,3385,2965,22,1,0
"Afu4g03740-T",421,298,439,440,451,686,519,1050,1057,523,1051,205,152,158
"Afu4g03750-T",15,7,9,10,8,24,7,9,15,10,10,12,1,6
"Afu4g03760-T",767,504,595,596,314,1051,87,246,229,391,624,412,258,300
"Afu4g03770-T",180,69,119,98,99,169,108,141,162,67,134,55,46,42
"Afu4g03780-T",15,3,9,8,7,23,8,5,9,3,23,8,3,1
"Afu4g03790-T",65,17,51,36,46,72,8,11,14,12,28,15,17,7
"Afu4g03800-T",1210,539,903,711,560,1139,318,400,391,513,582,429,363,390
"Afu4g03810-T",24,12,10,18,6,18,4,10,22,11,14,10,4,11
"Afu4g03820-T",1049,523,584,747,498,1226,834,928,1030,589,885,594,446,424
"Afu4g03830-T",1675,589,858,1070,856,2196,977,1222,1576,724,1057,455,376,348
"Afu4g03840-T",266,146,163,227,200,388,170,206,209,150,234,110,65,67
"Afu4g03850-T",292,196,197,258,145,307,134,265,215,194,289,140,96,97
"Afu4g03860-T",1307,502,664,739,436,978,272,753,506,624,904,801,505,630
"Afu4g03870-T",130,39,94,86,92,160,38,50,55,39,69,52,60,46
"Afu4g03880-T",4598,1714,2191,2426,1808,3702,1152,1782,1509,1835,2766,3786,2787,2552
"Afu4g03890-T",735,381,437,564,747,876,510,626,937,475,773,304,271,255
"Afu4g03900-T",1010,544,683,807,648,1340,1441,2121,1725,972,1713,996,455,1010
"Afu4g03910-T",172,63,123,101,62,192,42,68,73,47,75,24,15,32
"Afu4g03920-T",11,8,7,6,5,21,0,1,2,2,2,0,6,0
"Afu4g03930-T",56,32,22,31,27,69,5,11,13,8,17,4,2,1
"Afu4g03940-T",123,60,92,69,50,185,18,34,33,36,63,16,17,13
"Afu4g03945-T",571,299,369,535,326,753,236,301,391,274,397,144,130,118
"Afu4g03950-T",151,41,104,96,44,145,52,64,123,62,88,188,149,151
"Afu4g03960-T",9827,5694,6632,8143,6262,13270,6695,8849,9201,6839,9705,5493,4263,3350
"Afu4g03970-T",105,44,91,103,53,120,56,64,77,80,87,78,69,65
"Afu4g03980-T",372,177,225,271,285,417,75,131,138,113,152,73,57,67
"Afu4g03990-T",1153,710,707,1005,859,1461,733,1076,1052,811,1208,546,379,408
"Afu4g04000-T",1475,1129,1042,1751,1511,2230,819,1017,1405,617,1002,262,195,164
"Afu4g04010-T",17,8,9,8,4,15,0,6,8,5,9,6,7,6
"Afu4g04020-T",1,0,1,0,2,7,0,0,0,0,1,2,1,1
"Afu4g04030-T",32,9,26,17,8,31,5,9,11,12,10,16,15,12
"Afu4g04040-T",35,13,24,18,10,25,9,16,19,12,33,37,28,26
"Afu4g04060-T",1040,508,698,836,400,1271,335,459,539,310,410,356,340,207
"Afu4g04070-T",2801,1620,2051,2252,1412,3307,1136,1832,1535,1908,2368,2365,2017,1612
"Afu4g04075-T",234,111,171,154,105,228,40,55,70,60,107,148,119,82
"Afu4g04080-T",1,0,0,0,1,1,0,0,2,1,0,3,0,1
"Afu4g04090-T",229,45,162,94,36,181,19,21,31,15,30,21,14,21
"Afu4g04100-T",485,200,362,303,235,595,172,225,296,172,233,139,96,111
"Afu4g04110-T",308,100,189,127,80,296,64,144,108,87,106,143,120,105
"Afu4g04120-T",217,87,141,145,84,276,226,343,277,200,292,129,77,111
"Afu4g04130-T",1262,688,732,949,777,1469,962,1201,1300,653,1162,1054,810,606
"Afu4g04140-T",232,115,101,129,125,242,97,145,129,57,143,85,56,64
"Afu4g04150-T",501,269,336,410,478,742,471,538,774,376,536,449,421,314
"Afu4g04160-T",397,286,287,437,380,639,270,312,309,310,566,258,191,174
"Afu4g04170-T",343,213,220,343,262,526,213,258,245,256,404,227,159,138
"Afu4g04180-T",605,326,402,390,379,756,254,290,299,180,392,316,275,216
"Afu4g04190-T",26228,14364,16779,22417,17578,35952,13833,16689,17553,14579,22580,6264,5297,3939
"Afu4g04200-T",51,17,30,36,22,70,11,21,19,12,26,8,10,3
"Afu4g04210-T",31,7,24,20,9,43,8,16,19,9,16,25,9,23
"Afu4g04220-T",279,107,146,243,226,368,118,150,238,117,214,926,879,618
"Afu4g04230-T",2430,1122,1418,1703,1515,3031,389,560,676,567,987,535,453,427
"Afu4g04250-T",43,11,16,22,9,35,9,16,6,12,23,20,12,20
"Afu4g04260-T",63,17,23,35,21,49,9,10,8,15,30,41,23,32
"Afu4g04270-T",32,13,13,18,17,20,14,17,13,29,97,30,20,27
"Afu4g04280-T",1769,1101,1202,1781,2312,2227,761,1798,2759,1317,4592,1066,796,1066
"Afu4g04290-T",16,8,17,16,9,17,1,10,11,16,23,7,1,10
"Afu4g04300-T",519,205,349,356,270,526,170,280,384,236,479,426,371,273
"Afu4g04310-T",299,113,262,179,105,286,55,123,118,98,170,84,54,60
"Afu4g04318-T",417,286,367,422,211,509,194,358,475,273,379,176,128,121
"Afu4g04320-T",3,2,2,0,3,6,11,14,8,8,12,22,22,35
"Afu4g04330-T",67,18,38,32,17,40,7,35,50,75,81,118,105,68
"Afu4g04350-T",156,46,113,74,47,119,30,86,66,85,130,106,75,56
"Afu4g04355-T",79,18,61,57,22,89,6,32,39,12,30,11,15,12
"Afu4g04360-T",177,83,137,111,64,233,86,100,97,109,125,53,24,46
"Afu4g04370-T",15,2,16,10,2,13,3,5,4,4,5,2,1,1
"Afu4g04380-T",214,56,110,176,98,212,37,49,73,88,139,1599,1470,799
"Afu4g04390-T",48,25,40,21,16,41,10,29,37,22,58,61,50,61
"Afu4g04410-T",604,328,393,501,275,825,451,609,507,349,520,233,118,181
"Afu4g04415-T",3,1,1,0,0,5,0,7,1,4,9,2,0,5
"Afu4g04420-T",39,5,18,22,10,31,4,18,14,19,34,9,4,9
"Afu4g04430-T",153,49,86,72,65,118,35,52,55,74,116,85,73,81
"Afu4g04440-T",300,112,230,195,134,368,166,239,244,222,336,242,204,140
"Afu4g04450-T",25,14,16,33,16,13,3,19,26,27,51,13,19,10
"Afu4g04460-T",3349,1789,1815,2697,1809,3414,1237,1710,1497,2227,3331,3557,2587,2572
"Afu4g04465-T",62,51,38,92,76,51,47,66,77,27,34,12,9,16
"Afu4g04470-T",35,7,14,17,11,36,9,14,18,18,16,6,3,14
"Afu4g04480-T",7,9,5,21,16,7,3,11,12,14,21,7,3,9
"Afu4g04502-T",787,688,638,905,1035,1175,810,1221,1215,711,1630,523,420,471
"Afu4g04510-T",30,9,29,29,13,53,4,15,8,8,11,14,11,5
"Afu4g04520-T",462,239,306,348,156,480,174,237,164,281,320,343,240,255
"Afu4g04530-T",28,5,20,20,16,35,4,14,23,8,17,32,11,14
"Afu4g04540-T",46,14,29,27,22,61,19,22,22,28,31,15,17,10
"Afu4g04550-T",36,26,12,17,9,34,16,59,45,142,136,83,60,64
"Afu4g04560-T",29,8,18,9,10,18,5,18,7,40,37,23,15,19
"Afu4g04570-T",109,51,74,68,37,151,21,49,56,32,48,9,4,4
"Afu4g04580-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu4g04590-T",3134,1614,2091,2441,1434,4203,1151,1555,1610,1229,1573,521,393,300
"Afu4g04600-T",101,34,60,69,48,104,32,76,77,81,102,74,31,48
