"","AF293.Hypoxia.r1","AF293.Hypoxia.r2","AF293.Hypoxia.r3","Delta_eefA_AF293.Hypoxia.r1","Delta_eefA_AF293.Hypoxia.r2","Delta_eefA_AF293.Hypoxia.r3","eefA_OE.Hypoxia.r1","eefA_OE.Hypoxia.r2","eefA_OE.Hypoxia.r3","eefA_REV.Hypoxia.r1","eefA_REV.Hypoxia.r3","EVOL.Hypoxia.r1","EVOL.Hypoxia.r2","EVOL.Hypoxia.r3"
"Afu1g00480-T",1.23250223715315e-06,1.92616305389928e-06,7.38331037679628e-07,2.35444090904737e-05,2.10285872186049e-07,12,376.990165360819,202.990229984533,146.990196649833,110.835927840943,160.819288131702,368.796960487893,319.999391966242,385.948953178021
"Afu1g00490-T",2,1,2,3,3,6,0,0,1,1,2,1,2,0
"Afu1g00500-T",21783,7703,12751,11784,8682,22788,4678,6517,7458,6753,9878,825,851,889
"Afu1g00510-T",33550,15588,21593,22195,18389,40045,12139,13793,14634,9641,14249,2217,2470,2105
"Afu1g00520-T",49,10,28,11,19,47,21,8,15,14,21,10,0,4
"Afu1g00530-T",65,45,40,65,72,81,180,144,116,117,156,122,93,146
"Afu1g00540-T",164.226650662691,70.9982241664457,101.111272067626,95.704120879477,57.6126202838561,185.627134402697,40.9417093144059,73.1338188627968,105.786729551054,36.9310723045686,67.4341330470771,60.9290661443483,51.4863414985696,43.1526492134575
"Afu1g00550-T",98,40,40,75,115,125,52,77,150,55,112,85,60,64
"Afu1g00560-T",387,130,173,214,189,585,61,62,86,56,107,60,58,63
"Afu1g00570-T",193,56,115,87,110,179,46,86,85,65,143,178,152,99
"Afu1g00580-T",18.445107102276,9.13479059082062,22.8663374951859,22.352907693366,11.5383774848187,37.1288274520747,19.4421341210979,36.8564797591574,24.3512984092969,28.3539910388341,28.5300310015536,26.5569224821114,24.6500569587996,17.7414106721275
"Afu1g00590-T",3.15194651722723,1.63338794000821,2.85916829016399,5.0772705470437,2.87769130406213,8.30025075361071,0,0,1.48967022983741,1.65731618330243,1.56592705574227,5.46667677222798,3.87027730800865,4.39877030123315
"Afu1g00610-T",18.9421681669655,8.4848406707718,6.35137380544864,29.1204188998942,24.4740314891034,21.8198408099589,2.90659306584602,6.14363675494956,9.93477843512746,7.61811258327969,15.8331209207783,4.63642620429058,17.1454916592545,2.62282608084596
"Afu1g00620-T",15.4870334750016,5.51719675032292,7.60746074121214,8.9094558060398,8.44956732956659,18.0917923598214,4.40458441266076,2,1.59821916089291,5.03588144874746,4.54569774462047,3.66121339822167,0,2.61108594654365
"Afu1g00630-T",66,33,55,48,62,105,27,33,45,37,82,40,42,53
"Afu1g00640-T",133,35,74,55,63,127,4,21,23,16,51,76,70,39
"Afu1g00650-T",189,57,128,81,72,205,12,13,47,24,81,57,43,35
"Afu1g00660-T",1,0,0,1,1,1,0,0,0,0,1,1,1,0
"Afu1g00670-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g00680-T",1,3,2,2,2,5,0,0,0,0,1,1,2,1
"Afu1g00690-T",2,2,4,3,7,5,5,6,7,3,12,10,11,7
"Afu1g00700-T",96,66,49,86,69,115,86,88,93,58,117,148,112,81
"Afu1g00710-T",0,0,0,0,0,2,0,0,0,0,0,1,1,0
"Afu1g00720-T",1,0,2,1,1,0,0,0,0,0,0,0,0,0
"Afu1g00730-T",1,1,1,0,1,3,2,0,0,1,0,0,0,0
"Afu1g00740-T",1,0,1,0,0,1,0,0,0,0,0,1,0,0
"Afu1g00750-T",331,151,229,245,130,342,36,80,92,110,143,130,100,59
"Afu1g00760-T",1491,874,715,1397,648,1579,86,114,110,216,254,101,86,55
"Afu1g00770-T",0,0,0,0,0,0,2,1,3,1,1,27,16,9
"Afu1g00780-T",2,0,0,0,0,0,0,0,0,0,1,0,1,1
"Afu1g00790-T",939,317,557,516,422,1139,189,236,260,243,366,426,358,295
"Afu1g00800-T",2,0,0,0,1,2,0,0,0,1,0,0,1,2
"Afu1g00810-T",1.00263597524072,0,0,1.00250650133749,1.00174450573008,1.00220364567252,0,4.00819681265313,3.00737215615509,0,3.00676571191405,2.00544645269935,1.00159953679736,1.00198309144141
"Afu1g00820-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g00830-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g00840-T",286,131,204,222,182,375,118,191,277,148,238,189,165,147
"Afu1g00850-T",14,2,9,1,1,9,2,2,2,0,4,2,1,1
"Afu1g00880-T",894,484,599,631,378,972,360,588,468,458,667,332,206,227
"Afu1g00890-T",364,242,301,292,355,542,245,341,273,115,263,170,139,125
"Afu1g00910-T",911,392,535,590,657,1153,316,465,655,247,486,381,398,263
"Afu1g00920-T",558,210,349,358,264,622,113.983777232715,186,215,145.975230443044,231,318,337,226
"Afu1g00930-T",883,360,462,506,440,1208,247,317,407,248,386,156,108,145
"Afu1g00940-T",101,42,52,76,79,110,21,40,47,50,82,45,36,34
"Afu1g00950-T",16,5,12,15,4,12,3,9,9,9,25,27,15,20
"Afu1g00960-T",166,278,118,364,582,284,256,273,277,568,1175,190,139,198
"Afu1g00970-T",13,5,12,1,8,20,3,3,5,2,10,9,3,8
"Afu1g00980-T",13,5,7,4,5,13,1,0,1,2,2,0,2,2
"Afu1g00990-T",74,18,49,39,34,83,5,3,11,8,7,8,4,4
"Afu1g01000-T",7,3,8,6,4,12,3,2,6,7,6,6,1,3
"Afu1g01010-T",4,5,7,7,7,4,1,1,0,3,7,4,2,2
"Afu1g01020-T",225,234,198,378,398,386,240,148,241,219,493,97,71,104
"Afu1g01030-T",1880,1042,1126,1522,1099,2342,420,710,623,964,1391,954,760,711
"Afu1g01040-T",443,246,265,398,270,508,125,182,188,295,400,195,146,104
"Afu1g01050-T",45,23,23,32,17,53,26,34,29,26,38,33,15,12
"Afu1g01070-T",1,0,1,0,0,2,0,0,1,0,1,0,1,0
"Afu1g01080-T",0,2,1,0,1,1,0,0,0,0,0,2,3,1
"Afu1g01090-T",5,0,5,4,5,7,3,3,1,4,2,8,4,2
"Afu1g01100-T",8,9,2,7,6,10,11,19,15,8,24,14,7,6
"Afu1g01110-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g01120-T",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Afu1g01130-T",27,10,23,16,11,38,7,3,8,6,12,12,7,15
"Afu1g01140-T",7,1,3,6,1,5,1,0,1,3,1,7,5,0
"Afu1g01160-T",13,3,1,1,4,8,6,5,4,5,2,1,1,2
"Afu1g01170-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g01175-T",3,0,0,2,1,2,0,0,0,0,0,0,0,0
"Afu1g01180-T",4,3,3,2,0,4,0,10,2,7,9,7,1,7
"Afu1g01190-T",6,3,4,5,7,11,10,25,18,30,25,10,6,9
"Afu1g01200-T",0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Afu1g01210-T",0,1,2,1,3,2,1,0,0,0,1,0,0,0
"Afu1g01220-T",25,5,15,8,4,29,2,6,5,5,6,3,4,6
"Afu1g01230-T",64,17,46,27,17,63,8,11,9,10,8,14,7,13
"Afu1g01240-T",51,19,32,16,18,65,9,19,11,16,13,13,7,17
"Afu1g01250-T",16,10,21,8,10,25,2,6,5,6,3,4,1,5
"Afu1g01260-T",2,1,1,1,1,4,1,0,0,0,0,0,0,2
"Afu1g01265-T",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Afu1g01270-T",4,1,4,1,1,4,0,2,1,0,0,0,0,1
"Afu1g01280-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g01290-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g01300-T",50,11,21,17,12,62,24,20,31,18,16,55,43,21
"Afu1g01310-T",4,1,0,2,1,2,1,0,5,1,2,0,1,0
"Afu1g01320-T",0,0,0,0,0,1,1,0,0,1,0,0,2,0
"Afu1g01330-T",18,9,23,7,3,22,9,8,11,11,17,13,11,4
"Afu1g01340-T",13,5,15,6,4,13,1,9,3,5,13,9,2,8
"Afu1g01350-T",261,118,104,228,76,331,38,78,71,99,67,1,4,3
"Afu1g01360-T",316,77,166,162,97,391,55,100,98,52,91,21,15,14
"Afu1g01370-T",200,70,116,144,105,213,54,80,92,78,133,73,54,34
"Afu1g01380-T",121,70,105,95,70,169,70,114,132,119,187,87,58,72
"Afu1g01390-T",239,136,153,190,123,303,49,69,66,45,73,24,23,23
"Afu1g01400-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g01410-T",606,306,424,475,394,838,147,168,196,78,176,70,71,43
"Afu1g01420-T",1,1,2,1,0,0,0,0,1,0,0,0,0,0
"Afu1g01430-T",31,18,15,20,26,55,9,4,17,10,17,10,10,8
"Afu1g01440-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g01450-T",122,53,101,87,94,168,37,48,86,59,102,71,63,42
"Afu1g01460-T",2,0,2,2,0,2,0,0,3,3,4,0,2,4
"Afu1g01480-T",10,1,6,1,3,13,9,5,3,0,0,0,0,0
"Afu1g01490-T",257,94,257,168,112,457,56,79,93,33,37,17,13,16
"Afu1g01500-T",4,1,2,0,0,3,1,2,1,0,1,0,0,1
"Afu1g01520-T",1,2,0,1,1,4,0,1,1,0,0,1,0,2
